Events
100
Subject,Context,Name,Time (s),Description
Julie,Left,Foot Off,0.776,The instant the toe leaves the ground
Julie,Left,Foot Strike,1.207,The instant the heel strikes the ground
Julie,Left,Foot Off,1.977,The instant the toe leaves the ground
Julie,Left,Foot Strike,2.428,The instant the heel strikes the ground
Julie,Left,Foot Off,3.194,The instant the toe leaves the ground
Julie,Left,Foot Strike,3.614,The instant the heel strikes the ground
Julie,Left,Foot Off,4.404,The instant the toe leaves the ground
Julie,Left,Foot Strike,4.812,The instant the heel strikes the ground
Julie,Left,Foot Off,5.575,The instant the toe leaves the ground
Julie,Left,Foot Strike,5.987,The instant the heel strikes the ground
Julie,Left,Foot Off,6.804,The instant the toe leaves the ground
Julie,Left,Foot Strike,7.198,The instant the heel strikes the ground
Julie,Left,Foot Off,7.957,The instant the toe leaves the ground
Julie,Left,Foot Strike,8.366,The instant the heel strikes the ground
Julie,Left,Foot Off,9.116,The instant the toe leaves the ground
Julie,Left,Foot Strike,9.544,The instant the heel strikes the ground
Julie,Left,Foot Off,10.304,The instant the toe leaves the ground
Julie,Left,Foot Strike,10.732,The instant the heel strikes the ground
Julie,Left,Foot Off,11.5,The instant the toe leaves the ground
Julie,Left,Foot Strike,11.899,The instant the heel strikes the ground
Julie,Left,Foot Off,12.65,The instant the toe leaves the ground
Julie,Left,Foot Strike,13.082,The instant the heel strikes the ground
Julie,Left,Foot Off,13.868,The instant the toe leaves the ground
Julie,Left,Foot Strike,14.25,The instant the heel strikes the ground
Julie,Left,Foot Off,14.999,The instant the toe leaves the ground
Julie,Left,Foot Strike,15.402,The instant the heel strikes the ground
Julie,Left,Foot Off,16.155,The instant the toe leaves the ground
Julie,Left,Foot Strike,16.578,The instant the heel strikes the ground
Julie,Left,Foot Off,17.35,The instant the toe leaves the ground
Julie,Left,Foot Strike,17.758,The instant the heel strikes the ground
Julie,Left,Foot Off,18.496,The instant the toe leaves the ground
Julie,Left,Foot Strike,18.926,The instant the heel strikes the ground
Julie,Left,Foot Off,19.726,The instant the toe leaves the ground
Julie,Left,Foot Strike,20.15,The instant the heel strikes the ground
Julie,Left,Foot Off,20.935,The instant the toe leaves the ground
Julie,Left,Foot Strike,21.348,The instant the heel strikes the ground
Julie,Left,Foot Off,22.146,The instant the toe leaves the ground
Julie,Left,Foot Strike,22.582,The instant the heel strikes the ground
Julie,Left,Foot Off,23.378,The instant the toe leaves the ground
Julie,Left,Foot Strike,23.825,The instant the heel strikes the ground
Julie,Left,Foot Off,24.627,The instant the toe leaves the ground
Julie,Left,Foot Strike,25.068,The instant the heel strikes the ground
Julie,Left,Foot Off,25.839,The instant the toe leaves the ground
Julie,Left,Foot Strike,26.282,The instant the heel strikes the ground
Julie,Left,Foot Off,27.064,The instant the toe leaves the ground
Julie,Left,Foot Strike,27.477,The instant the heel strikes the ground
Julie,Left,Foot Off,28.262,The instant the toe leaves the ground
Julie,Left,Foot Strike,28.645,The instant the heel strikes the ground
Julie,Left,Foot Off,29.422,The instant the toe leaves the ground
Julie,Left,Foot Strike,29.872,The instant the heel strikes the ground
Julie,Left,Foot Off,30.691,The instant the toe leaves the ground
Julie,Left,Foot Strike,31.094,The instant the heel strikes the ground
Julie,Left,Foot Off,31.847,The instant the toe leaves the ground
Julie,Left,Foot Strike,32.274,The instant the heel strikes the ground
Julie,Left,Foot Off,33.044,The instant the toe leaves the ground
Julie,Left,Foot Strike,33.466,The instant the heel strikes the ground
Julie,Left,Foot Off,34.242,The instant the toe leaves the ground
Julie,Left,Foot Strike,34.673,The instant the heel strikes the ground
Julie,Left,Foot Off,35.427,The instant the toe leaves the ground
Julie,Left,Foot Strike,35.827,The instant the heel strikes the ground
Julie,Left,Foot Off,36.599,The instant the toe leaves the ground
Julie,Left,Foot Strike,37.005,The instant the heel strikes the ground
Julie,Left,Foot Off,37.795,The instant the toe leaves the ground
Julie,Left,Foot Strike,38.209,The instant the heel strikes the ground
Julie,Left,Foot Off,38.954,The instant the toe leaves the ground
Julie,Left,Foot Strike,39.378,The instant the heel strikes the ground
Julie,Left,Foot Off,40.15,The instant the toe leaves the ground
Julie,Left,Foot Strike,40.563,The instant the heel strikes the ground
Julie,Left,Foot Off,41.334,The instant the toe leaves the ground
Julie,Left,Foot Strike,41.764,The instant the heel strikes the ground
Julie,Left,Foot Off,42.525,The instant the toe leaves the ground
Julie,Left,Foot Strike,42.941,The instant the heel strikes the ground
Julie,Left,Foot Off,43.691,The instant the toe leaves the ground
Julie,Left,Foot Strike,44.113,The instant the heel strikes the ground
