Events
100
Subject,Context,Name,Time (s),Description
Mathieu,Left,Foot Strike,0.034,The instant the heel strikes the ground
Mathieu,Left,Foot Off,0.798,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,1.209,The instant the heel strikes the ground
Mathieu,Left,Foot Off,1.977,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,2.367,The instant the heel strikes the ground
Mathieu,Left,Foot Off,3.171,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,3.571,The instant the heel strikes the ground
Mathieu,Left,Foot Off,4.342,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,4.756,The instant the heel strikes the ground
Mathieu,Left,Foot Off,5.493,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,5.9,The instant the heel strikes the ground
Mathieu,Left,Foot Off,6.677,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,7.074,The instant the heel strikes the ground
Mathieu,Left,Foot Off,7.841,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,8.224,The instant the heel strikes the ground
Mathieu,Left,Foot Off,9.016,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,9.424,The instant the heel strikes the ground
Mathieu,Left,Foot Off,10.22,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,10.584,The instant the heel strikes the ground
Mathieu,Left,Foot Off,11.364,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,11.783,The instant the heel strikes the ground
Mathieu,Left,Foot Off,12.548,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,12.953,The instant the heel strikes the ground
Mathieu,Left,Foot Off,13.721,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,14.085,The instant the heel strikes the ground
Mathieu,Left,Foot Off,14.873,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,15.26,The instant the heel strikes the ground
Mathieu,Left,Foot Off,16.03,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,16.417,The instant the heel strikes the ground
Mathieu,Left,Foot Off,17.14,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,17.562,The instant the heel strikes the ground
Mathieu,Left,Foot Off,18.314,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,18.696,The instant the heel strikes the ground
Mathieu,Left,Foot Off,19.495,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,19.874,The instant the heel strikes the ground
Mathieu,Left,Foot Off,20.62,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,21.005,The instant the heel strikes the ground
Mathieu,Left,Foot Off,21.772,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,22.142,The instant the heel strikes the ground
Mathieu,Left,Foot Off,22.878,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,23.262,The instant the heel strikes the ground
Mathieu,Left,Foot Off,24.017,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,24.411,The instant the heel strikes the ground
Mathieu,Left,Foot Off,25.18,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,25.567,The instant the heel strikes the ground
Mathieu,Left,Foot Off,26.34,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,26.735,The instant the heel strikes the ground
Mathieu,Left,Foot Off,27.484,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,27.867,The instant the heel strikes the ground
Mathieu,Left,Foot Off,28.648,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,29.032,The instant the heel strikes the ground
Mathieu,Left,Foot Off,29.818,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,30.199,The instant the heel strikes the ground
Mathieu,Left,Foot Off,30.974,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,31.353,The instant the heel strikes the ground
Mathieu,Left,Foot Off,32.141,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,32.541,The instant the heel strikes the ground
Mathieu,Left,Foot Off,33.306,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,33.71,The instant the heel strikes the ground
Mathieu,Left,Foot Off,34.47,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,34.85,The instant the heel strikes the ground
Mathieu,Left,Foot Off,35.619,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,36.028,The instant the heel strikes the ground
Mathieu,Left,Foot Off,36.799,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,37.212,The instant the heel strikes the ground
Mathieu,Left,Foot Off,37.962,The instant the toe leaves the ground
Mathieu,Left,Foot Strike,38.401,The instant the heel strikes the ground
Mathieu,Left,Foot Off,39.182,The instant the toe leaves the ground
